IDTC;DDCC
127561;15/01/2003
63243;15/01/2003
9374;06/12/2002
79345;04/12/2002
80560;06/12/2002
58993;10/12/2002
112219;16/02/2000
143566;04/01/2001
55767;12/01/2003
44639;08/01/2003
66698;11/01/2003
19559;12/01/2003
18139;06/12/2000
73068;14/11/2000
53859;29/08/1996
43035;07/01/2002
129181;10/01/2001
62116;17/12/2000
18110;15/01/2001
137709;09/01/2001
50086;21/08/1996
113987;11/01/1994
113972;21/11/1985
114014;15/01/1986
45372;15/01/2000
113972;07/12/1988
66629;18/12/2001
28834;26/01/2001
515;07/06/2002
39171;01/07/2002
48213;14/01/2002
1944;19/12/2001
60553;20/12/2001
98549;19/09/1986
142924;22/09/1992
73787;13/11/2001
146663;04/06/1991
146861;24/11/1993
146907;28/12/1989
146907;04/12/1986
96201;23/11/1993
140574;26/11/1990
140574;26/11/1990
101158;22/06/1982
94036;09/07/2001
109789;07/11/1980
83039;12/11/2001
14520;09/11/2001
136400;18/06/2001
46128;28/07/2003
118692;03/06/1997
75128;21/12/2001
30019;19/01/1983
48578;17/12/2001
133437;14/12/2001
30019;07/11/1974
57724;04/01/2002
55513;17/12/2001
52843;26/12/2001
45439;16/12/2001
76250;08/11/2001
34749;08/12/1986
103539;24/12/2001
6916;24/12/2001
26188;26/12/2001
101718;08/04/1993
61670;06/11/2001
144292;10/07/2002
79761;31/10/2001
33243;19/10/2001
20360;25/11/1983
109787;23/12/1990
126509;24/11/1993
118362;05/03/2004
139940;19/01/2004
44902;05/01/2004
53516;02/12/1995
5798;26/02/1996
53079;14/12/2001
51750;27/09/2002
66929;03/05/2001
75392;29/07/1996
25074;03/03/2004
143722;06/11/2001
62899;12/03/2004
57531;12/03/2004
46650;11/03/2004
147090;27/06/2000
12451;02/05/2002
25074;26/12/2001
88390;26/12/2001
117732;15/11/1976
99966;22/03/1985
19971;22/12/1975
19975;26/11/1991
19975;28/02/1977
18179;31/05/2002
79525;05/10/2005
21085;26/12/1994
32163;30/11/1993
108665;23/09/2006
13937;19/10/2005
70385;27/12/2005
75793;27/04/2001
62113;17/12/2001
718;19/03/2001
36980;25/01/2005
101956;13/03/2005
119808;21/01/2005
103818;31/01/2005
133529;28/01/2005
